st_racuna,artikli
285,2 34 46 53 60 115 247 294 421 440 441 458 590 598 824 847 879 908 963 980 1042 1064 1081
444,2 16 46 53 57 1081 60 247 74 619 107 115 167 186 1214 1220 1242 256 271 294 824 1351 1357 1358 395 421 980 195 475 488
466,2 1042 34 41 1220 247 1404 1407 1409 446
714,2 2066 46 1081 2098 2101 1599 2105 74 593 16 598 1140 1766 247 822 1351 2102 441 446 2008 2032
963,1 2 16 23 46 824 60 74 619 1351 195 1766 271 2364 2387 2391 395 421 441 446 2008 2032
1629,2 590 824 619
1821,2 3678
2308,2 1042 421 590 598 619 441 1206 271 1351 395 908 4004 4007 4036 4065
3476,2 16 1042 1064 46 53 57 1081 60 598 3162 619 195 722 247 2298 256 260 824 3406 4477 908 420 440 446 5088 3554 5099
3640,2 16 57 60 74 195 247 256 271 294 385 395 420 2471 440 441 446 4650 2630 590 617 619 2780 1042 5259 5273 5292 3732 3788 3872 2032
4655,1 2 46 51 57 74 195 2298 272 370 440 488 534 619 2780 852 3098 3538 5928 5943
4893,2 395 534 421 824
5312,1 2 16 1042 34 36 46 53 195 256 6406 294 3903 1351 421 440 446
5594,53 441 2368 590
7408,2 3098 598 115 186 1220 2780 271 824 440
7626,2 16 1042 534 23 34 36 1064 60 74 590 598 619 1206 1766 247 256 271 294 2364 1351 420 440 441 1502
7679,2 16 1042 2098 421 598 619 115 256 271 1357 5497 1409 395 446
7777,2 16 46 53 57 115 4269 186 271 294 4398 2387 370 395 2443 421 2472 441 534 589 593 619 824 908 980 1042 3098 1064 1140 1220 3358 3360 1351 1502 7651 1599 5858 2008 4065 2032
7906,2 23 34 41 2098 2102 60 4166 115 2166 247 256 294 6483 395 421 440 441 458 598 719 824 879 908 1042 1081 1358 7774 1766
8696,2 16 34 41 46 53 57 60 1081 598 619 247 256 3358 3360 294 4398 824 1357 446
8764,1 2 16 2098 53 74 115 195 6559 421 534 590 604 617 824 1042 5273 1206 1351 1395 3542 5640 7868 1766 8180
8971,2 8202 8206 8208 8220 8237 53 2098 60 16 115 36 2235 247 256 294 395 420 440 441 446 590 619 824 852 1042 5337 5452 5696 1599 5707 8061
9943,2 1042 534 46 564 53 2614 2098 74 598 5732 2710 271 908 4515 421 8607 8609 440 957 446 1504 5627
10261,2 3098 57 60 1220 1357 1409 4515 440 441
10345,2 8738 1064 46 593 908 6559 440 2008 8670 480
11167,2 16 534 34 57 115 1220 1235 294 824 1357 908 4515 440 441 1502 4065
11336,2 16 1042 23 34 46 53 1599 598 675 1235 9003 3358 3360 4398 9005 2364 395 421 441 2520 485
11566,1 2 16 1042 3098 1064 53 57 1081 60 74 327 5259 3788 247 256 271 294 824 1351 1357 370 7552 395 421 440 5577 458
